id	sz_name	sz_name_en	sz_class	quality	type	spriteid	iconId	need_level	maxHp	maxMp	sz_atk	sz_dfs	critRate	defenCrit	precise	dodge	luck	slashSpeed	sz_description
30	天魔战甲(女)		Equipment	4	1	43	958	0	0	0	{{0,2},{0,0},{0,0}}	{3,1,0}							来自上古的神器，拥有无上的战斗力，是每个战士梦寐以求的武器
31	火焰法袍(男)		Equipment	4	1	44	956	0	0	0	{{0,2},{0,0},{0,0}}	{3,1,0}							来自上古的神器，拥有无上的战斗力，是每个战士梦寐以求的武器
32	火焰法袍(女)		Equipment	4	1	45	959	0	0	0	{{0,2},{0,0},{0,0}}	{3,1,0}							来自上古的神器，拥有无上的战斗力，是每个战士梦寐以求的武器
33	齐天道袍(男)		Equipment	4	1	46	957	0	0	0	{{0,2},{0,0},{0,0}}	{3,1,0}							来自上古的神器，拥有无上的战斗力，是每个战士梦寐以求的武器
34	齐天道袍(女)		Equipment	4	1	47	960	0	0	0	{{0,2},{0,0},{0,0}}	{3,1,0}							来自上古的神器，拥有无上的战斗力，是每个战士梦寐以求的武器
35	开天战袍(男)		Equipment	5	1	48	985	0	0	0	{{0,2},{0,0},{0,0}}	{3,1,0}							来自上古的神器，拥有无上的战斗力，是每个战士梦寐以求的武器
36	开天战袍(女)		Equipment	5	1	49	986	0	0	0	{{0,2},{0,0},{0,0}}	{3,1,0}							来自上古的神器，拥有无上的战斗力，是每个战士梦寐以求的武器
37	辉煌法袍(男)		Equipment	5	1	50	1003	0	0	0	{{0,2},{0,0},{0,0}}	{3,1,0}							来自上古的神器，拥有无上的战斗力，是每个战士梦寐以求的武器
38	辉煌法袍(女)		Equipment	5	1	51	1004	0	0	0	{{0,2},{0,0},{0,0}}	{3,1,0}							来自上古的神器，拥有无上的战斗力，是每个战士梦寐以求的武器
39	开天战甲(男)		Equipment	5	1	52	1041	0	0	0	{{0,2},{0,0},{0,0}}	{3,1,0}							来自上古的神器，拥有无上的战斗力，是每个战士梦寐以求的武器
40	开天战甲(女)		Equipment	5	1	53	1042	0	0	0	{{0,2},{0,0},{0,0}}	{3,1,0}							来自上古的神器，拥有无上的战斗力，是每个战士梦寐以求的武器
41	魔法头盔		Equipment	2	3	0	100	0	0	0	{{0,2}}	{3,1,0}							来自上古的神器，拥有无上的战斗力，是每个战士梦寐以求的武器
42	天王冠		Equipment	2	3	0	101	0	0	0	{{0,2}}	{3,1,0}							来自上古的神器，拥有无上的战斗力，是每个战士梦寐以求的武器
43	明珠盔		Equipment	2	3	0	102	0	0	0	{{0,2}}	{3,1,0}							来自上古的神器，拥有无上的战斗力，是每个战士梦寐以求的武器
44	骷髅头盔		Equipment	3	3	0	103	0	0	0	{{0,2}}	{3,1,0}							来自上古的神器，拥有无上的战斗力，是每个战士梦寐以求的武器
45	神圣头盔		Equipment	2	3	0	105	0	0	0	{{0,2}}	{3,1,0}							来自上古的神器，拥有无上的战斗力，是每个战士梦寐以求的武器
46	豹子头盔		Equipment	2	3	0	106	0	0	0	{{0,2}}	{3,1,0}							来自上古的神器，拥有无上的战斗力，是每个战士梦寐以求的武器
47	法师头盔		Equipment	2	3	0	107	0	0	0	{{0,2}}	{3,1,0}							来自上古的神器，拥有无上的战斗力，是每个战士梦寐以求的武器
48	不知名头盔		Equipment	1	3	0	108	0	0	0	{{0,2}}	{3,1,0}							来自上古的神器，拥有无上的战斗力，是每个战士梦寐以求的武器
49	记忆头盔		Equipment	2	3	0	109	0	0	0	{{0,2}}	{3,1,0}							来自上古的神器，拥有无上的战斗力，是每个战士梦寐以求的武器
50	链甲头盔		Equipment	2	3	0	110	0	0	0	{{0,2}}	{3,1,0}							来自上古的神器，拥有无上的战斗力，是每个战士梦寐以求的武器
51	魔血剑		Equipment	5	2	54	66	0	0	0	{{12,20},{10,18}}	{}							远古魔神的武器
52	血瓶小		BloodVial	1	11		10	0	50										加血的道具
53	蓝瓶小		BloodVial	1	11		12	0		50									蓝屏的好喝的
54	血瓶中		BloodVial	1	11		400	0	100										喝了不上头
55	蓝瓶中		BloodVial	1	11		396	0		100									好喝还是蓝屏好
56	血瓶大		BloodVial	1	11		28	0	150										身体倍棒
57	蓝瓶大		BloodVial	1	11		29	0		150									吃嘛嘛香
58	万能雪霜		BloodVial	1	11		260	0	200	200									无敌是多么寂寞
59	防护手镯		Equipment	1	5	0	186	0	0	0	{{0,2},{3,3},{0,2}}	{2,3}							手镯
60	棉手镯		Equipment	1	5	0	187	0	0	0	{{0,2},{3,3},{0,2}}	{2,4}							手镯
61	死神手套		Equipment	1	5	0	188	0	0	0	{{0,2},{3,3},{0,2}}	{2,5}							手镯
62	猎人手套		Equipment	1	5	0	189	0	0	0	{{0,2},{3,3},{0,2}}	{2,6}							手镯
63	皮手套		Equipment	1	5	0	190	0	0	0	{{0,2},{3,3},{0,2}}	{2,7}							手镯
64	熊之手套		Equipment	1	5	0	191	0	0	0	{{0,2},{3,3},{0,2}}	{2,8}							手镯
65	小手镯		Equipment	1	5	0	192	0	0	0	{{0,1}}	{}							手镯
66	道士手镯		Equipment	1	5	0	193	0	0	0	{{0,0},{0,0},{0,1}}	{}							手镯
67	辟邪手镯		Equipment	1	5	0	194	0	0	0	{{0,2}}	{}							手镯
68	天尊手镯		Equipment	1	5	0	195	0	0	0	{{0,0},{0,0},{0,4}}	{}							手镯
69	圣战手镯		Equipment	1	5	0	196	0	0	0	{{0,4}}	{}							手镯
70	魔域手镯		Equipment	1	5	0	197	0	0	0	{{0,0},{3,3}}	{}							手镯
71	战神手镯		Equipment	5	5	0	676	0	0	0	{{1000,6000},{8,8},{0,2}}	{2,15}							手镯
72	古铜戒指		Equipment	1	7	0	140	0	0	0	{{0,1}}	{}							戒指
73	玻璃戒指		Equipment	1	7	0	141	0	0	0	{{0,0},{0,0},{0,1}}	{}							戒指
74	蓝色水晶戒指		Equipment	1	7	0	142	0	0	0	{{1,1}}	{1}							戒指
75	生铁戒指		Equipment	1	7	0	143	0	0	0	{{0,0},{0,1},{0,0}}	{0,1}							戒指
76	六角戒指		Equipment	1	7	0	144	0	0	0	{{0,0},{0,1},{0,0}}	{}							戒指
77	牛角戒指		Equipment	1	7	0	145	0	0	0	{{0,1}}	{0,1}							戒指
78	道德戒指		Equipment	1	7	0	146	0	0	0	{{0,0},{1,2},{0,0}}	{0,0}							戒指
79	魅力戒指		Equipment	1	7	0	147	0	0	0	{{0,0},{0,2},{0,0}}	{0,0}							戒指
80	骷髅戒指		Equipment	1	7	0	177				{{0,3}}	{}							不死族使用的戒指
81	战神戒指		Equipment	5	7		670				{{0,9},{0,0},{0,0}}	{2,0,0}							战神奎托狮的戒指
82	战神项链		Equipment	5	4		229				{{3,8},{0,0},{0,0}}	{0,0,0}							
83	GM战甲		Equipment	3	1	6	62	0	1000	50	{{0,30},{0,0},{0,0}}	{1000,1000,1000}							GM专用战甲
84	绿玉裁决		Equipment	5	2	77	495	0	0	0	{{10,40},{0,0},{0,0}}	{0,0,0}							强化过后的裁决
85	斩魄刀		Equipment	5	2	78	981	0	0	0	{{10,50},{0,0},{0,0}}	{0,0,0}							斩魄刀
86	逆火屠龙		Equipment	5	2	79	977	0	0	0	{{20,60},{0,0},{0,0}}	{0,0,0}							强化版本的屠龙
87	逆火权杖		Equipment	5	2	80	974	0	0	0	{{10,30},{11,40},{0,0}}	{0,0,0}							无敌的权杖
88	回城卷		Ticket	1	12		402												
89	金疮药打捆		GoodPack	1	13		313		56	6									
90	魔药打捆		GoodPack	1	13		314		57	6									
